index,time2,
335,1459814852,1459814852
335,1459815430,1459815430
335,1459815520,1459815520
335,1459818196,1459818196
335,1459818396,1459818396
335,1459820591,1459820591
335,1459820891,1459820891
335,1459821020,1459821020
335,1459821192,1459821192
335,1459821696,1459821696
335,1459821780,1459821780
335,1459824613,1459824613
335,1459824653,1459824653
335,1459825128,1459825128
335,1459825257,1459825257
335,1459825618,1459825618
335,1459825790,1459825790
335,1459825970,1459825970
335,1459826087,1459826087
335,1459827899,1459827899
335,1459827940,1459827940
335,1459828210,1459828210
335,1459828255,1459828255
335,1459864818,1459864818
335,1459864971,1459864971
335,1459865106,1459865106
335,1459865286,1459865286
335,1459865466,1459865466
335,1459865646,1459865646
335,1459865691,1459865691
335,1459866451,1459866451
335,1459867287,1459867287
335,1459867427,1459867427
335,1459869047,1459869047
335,1459869753,1459869753
335,1459885069,1459885069
335,1459885112,1459885112
335,1459885370,1459885370
335,1459885413,1459885413
336,1459816305,1459816305
336,1459831412,1459831412
336,1459831495,1459831495
336,1459833129,1459833129
336,1459833172,1459833172
336,1459834806,1459834806
336,1459834849,1459834849
336,1459835111,1459835111
336,1459835279,1459835279
336,1459837137,1459837137
336,1459837301,1459837301
336,1459837473,1459837473
336,1459837645,1459837645
336,1459837989,1459837989
336,1459838118,1459838118
336,1459840182,1459840182
336,1459840483,1459840483
336,1459840655,1459840655
336,1459840821,1459840821
336,1459840913,1459840913
336,1459872310,1459872310
336,1459872434,1459872434
336,1459883546,1459883546
336,1459883647,1459883647
336,1459883871,1459883871
336,1459883951,1459883951
336,1459885940,1459885940
336,1459886100,1459886100
336,1459886260,1459886260
336,1459886300,1459886300
336,1459886511,1459886511
336,1459886763,1459886763
336,1459887406,1459887406
336,1459887472,1459887472
336,1459894321,1459894321
336,1459894450,1459894450
336,1459894493,1459894493
337,1459811213,1459811213
337,1459811293,1459811293
337,1459811574,1459811574
337,1459811693,1459811693
337,1459811893,1459811893
337,1459812013,1459812013
337,1459812093,1459812093
337,1459812493,1459812493
337,1459812651,1459812651
337,1459812733,1459812733
337,1459813213,1459813213
337,1459815627,1459815627
337,1459815653,1459815653
337,1459815973,1459815973
337,1459816093,1459816093
337,1459816293,1459816293
337,1459816493,1459816493
337,1459816653,1459816653
337,1459816813,1459816813
337,1459816853,1459816853
337,1459817493,1459817493
337,1459817693,1459817693
337,1459817733,1459817733
337,1459818013,1459818013
337,1459834933,1459834933
337,1459834973,1459834973
337,1459888347,1459888347
337,1459890936,1459890936
337,1459891136,1459891136
337,1459891256,1459891256
337,1459892656,1459892656
337,1459893975,1459893975
338,1459814976,1459814976
338,1459818211,1459818211
338,1459818405,1459818405
338,1459818450,1459818450
338,1459819257,1459819257
338,1459819376,1459819376
338,1459820395,1459820395
