index,time1,time2,group
47,1464664769,1464664829,d1
47,1464664933,1464664993,d1
47,1464665138,1464665198,d1
47,1464665630,1464665690,d1
47,1464665794,1464665854,d1
47,1464665958,1464666018,d1
47,1464666901,1464666961,d1
47,1464667995,1464668055,d1
47,1464668213,1464668273,d1
47,1464668377,1464668437,d1
47,1464668500,1464668560,d1
47,1464668541,1464668601,d1
47,1464670468,1464670528,d1
47,1464670632,1464670692,d1
47,1464670830,1464670890,d1
47,1464670960,1464671020,d1
47,1464671165,1464671225,d1
47,1464671370,1464671430,d1
47,1464672518,1464672578,d1
47,1464672685,1464672745,d1
47,1464672862,1464672922,d1
47,1464673010,1464673070,d1
47,1464673174,1464673234,d1
47,1464673338,1464673398,d1
47,1464673502,1464673562,d1
47,1464673666,1464673726,d1
47,1464673707,1464673767,d1
47,1464676126,1464676186,d1
47,1464676290,1464676350,d1
47,1464676454,1464676514,d1
47,1464676577,1464676637,d1
47,1464676741,1464676801,d1
47,1464676823,1464676883,d1
47,1464677971,1464678031,d1
47,1464678053,1464678113,d1
47,1464678668,1464678728,d1
47,1464678832,1464678892,d1
